151,4,time,val
0,0,0,0.000,0.000
0,0,1,0.000,-0.025
0,0,2,0.000,0.000
0,0,3,0.000,0.000
0,1,0,0.000,-0.025
0,1,1,0.000,0.000
0,1,2,0.000,-0.025
0,1,3,0.000,0.000
0,2,0,0.000,0.000
0,2,1,0.000,-0.025
0,2,2,0.000,0.000
0,2,3,0.000,-0.025
0,3,0,0.000,0.000
0,3,1,0.000,0.000
0,3,2,0.000,-0.025
0,3,3,0.000,0.000
1,0,0,0.000,0.000
1,0,1,0.000,-0.025
1,0,2,0.000,0.000
1,0,3,0.000,0.000
1,1,0,0.000,-0.025
1,1,1,0.000,0.000
1,1,2,0.000,-0.025
1,1,3,0.000,0.000
1,2,0,0.000,0.000
1,2,1,0.000,-0.025
1,2,2,0.000,0.000
1,2,3,0.000,-0.025
1,3,0,0.000,0.000
1,3,1,0.000,0.000
1,3,2,0.000,-0.025
1,3,3,0.000,0.000
2,0,0,0.000,0.000
2,0,1,0.000,-0.025
2,0,2,0.000,0.000
2,0,3,0.000,0.000
2,1,0,0.000,-0.025
2,1,1,0.000,0.000
2,1,2,0.000,-0.025
2,1,3,0.000,0.000
2,2,0,0.000,0.000
2,2,1,0.000,-0.025
2,2,2,0.000,0.000
2,2,3,0.000,-0.025
2,3,0,0.000,0.000
2,3,1,0.000,0.000
2,3,2,0.000,-0.025
2,3,3,0.000,0.000
3,0,0,0.001,0.000
3,0,1,0.001,-0.025
3,0,2,0.001,0.000
3,0,3,0.001,0.000
3,1,0,0.001,-0.025
3,1,1,0.001,0.000
3,1,2,0.001,-0.025
3,1,3,0.001,0.000
3,2,0,0.001,0.000
3,2,1,0.001,-0.025
3,2,2,0.001,0.000
3,2,3,0.001,-0.025
3,3,0,0.001,0.000
3,3,1,0.001,0.000
3,3,2,0.001,-0.025
3,3,3,0.001,0.000
4,0,0,0.001,0.000
4,0,1,0.001,-0.025
4,0,2,0.001,0.000
4,0,3,0.001,0.000
4,1,0,0.001,-0.025
4,1,1,0.001,0.000
4,1,2,0.001,-0.025
4,1,3,0.001,0.000
4,2,0,0.001,0.000
4,2,1,0.001,-0.025
4,2,2,0.001,0.000
4,2,3,0.001,-0.025
4,3,0,0.001,0.000
4,3,1,0.001,0.000
4,3,2,0.001,-0.025
4,3,3,0.001,0.000
5,0,0,0.002,0.000
5,0,1,0.002,-0.025
5,0,2,0.002,0.000
5,0,3,0.002,0.000
5,1,0,0.002,-0.025
5,1,1,0.002,0.000
5,1,2,0.002,-0.025
5,1,3,0.002,0.000
5,2,0,0.002,0.000
5,2,1,0.002,-0.025
5,2,2,0.002,0.000
5,2,3,0.002,-0.025
5,3,0,0.002,0.000
5,3,1,0.002,0.000
5,3,2,0.002,-0.025
5,3,3,0.002,0.000
6,0,0,0.003,0.000
6,0,1,0.003,-0.025
6,0,2,0.003,0.000
6,0,3,0.003,0.000
6,1,0,0.003,-0.025
6,1,1,0.003,0.000
6,1,2,0.003,-0.025
6,1,3,0.003,0.000
6,2,0,0.003,0.000
6,2,1,0.003,-0.025
6,2,2,0.003,0.000
6,2,3,0.003,-0.025
6,3,0,0.003,0.000
6,3,1,0.003,0.000
6,3,2,0.003,-0.025
6,3,3,0.003,0.000
7,0,0,0.003,0.000
7,0,1,0.003,-0.025
7,0,2,0.003,0.000
7,0,3,0.003,0.000
7,1,0,0.003,-0.025
7,1,1,0.003,0.000
7,1,2,0.003,-0.025
7,1,3,0.003,0.000
7,2,0,0.003,0.000
7,2,1,0.003,-0.025
7,2,2,0.003,0.000
7,2,3,0.003,-0.025
7,3,0,0.003,0.000
7,3,1,0.003,0.000
7,3,2,0.003,-0.025
7,3,3,0.003,0.000
8,0,0,0.004,0.000
8,0,1,0.004,-0.025
8,0,2,0.004,0.000
8,0,3,0.004,0.000
8,1,0,0.004,-0.025
8,1,1,0.004,0.000
8,1,2,0.004,-0.025
8,1,3,0.004,0.000
8,2,0,0.004,0.000
8,2,1,0.004,-0.025
8,2,2,0.004,0.000
8,2,3,0.004,-0.025
8,3,0,0.004,0.000
8,3,1,0.004,0.000
8,3,2,0.004,-0.025
8,3,3,0.004,0.000
9,0,0,0.005,0.000
9,0,1,0.005,-0.025
9,0,2,0.005,0.000
9,0,3,0.005,0.000
9,1,0,0.005,-0.025
9,1,1,0.005,0.000
9,1,2,0.005,-0.025
9,1,3,0.005,0.000
9,2,0,0.005,0.000
9,2,1,0.005,-0.025
9,2,2,0.005,0.000
9,2,3,0.005,-0.025
9,3,0,0.005,0.000
9,3,1,0.005,0.000
9,3,2,0.005,-0.025
9,3,3,0.005,0.000
10,0,0,0.005,0.000
10,0,1,0.005,-0.025
10,0,2,0.005,0.000
10,0,3,0.005,0.000
10,1,0,0.005,-0.025
10,1,1,0.005,0.000
10,1,2,0.005,-0.025
10,1,3,0.005,0.000
10,2,0,0.005,0.000
10,2,1,0.005,-0.025
10,2,2,0.005,0.000
10,2,3,0.005,-0.025
10,3,0,0.005,0.000
10,3,1,0.005,0.000
10,3,2,0.005,-0.025
10,3,3,0.005,0.000
11,0,0,0.006,0.000
11,0,1,0.006,-0.025
11,0,2,0.006,0.000
11,0,3,0.006,0.000
11,1,0,0.006,-0.025
11,1,1,0.006,0.000
11,1,2,0.006,-0.026
11,1,3,0.006,0.000
11,2,0,0.006,0.000
11,2,1,0.006,-0.026
11,2,2,0.006,0.000
11,2,3,0.006,-0.025
11,3,0,0.006,0.000
11,3,1,0.006,0.000
11,3,2,0.006,-0.025
11,3,3,0.006,0.000
12,0,0,0.007,0.000
12,0,1,0.007,-0.025
12,0,2,0.007,0.000
12,0,3,0.007,0.000
12,1,0,0.007,-0.025
12,1,1,0.007,0.000
12,1,2,0.007,-0.026
12,1,3,0.007,0.000
12,2,0,0.007,0.000
12,2,1,0.007,-0.026
12,2,2,0.007,0.000
12,2,3,0.007,-0.025
12,3,0,0.007,0.000
12,3,1,0.007,0.000
12,3,2,0.007,-0.025
12,3,3,0.007,0.000
13,0,0,0.007,0.000
13,0,1,0.007,-0.025
13,0,2,0.007,0.000
13,0,3,0.007,0.000
13,1,0,0.007,-0.025
13,1,1,0.007,0.000
13,1,2,0.007,-0.026
13,1,3,0.007,0.000
13,2,0,0.007,0.000
13,2,1,0.007,-0.026
13,2,2,0.007,0.000
13,2,3,0.007,-0.025
13,3,0,0.007,0.000
13,3,1,0.007,0.000
13,3,2,0.007,-0.025
13,3,3,0.007,0.000
14,0,0,0.008,0.000
14,0,1,0.008,-0.025
14,0,2,0.008,0.000
14,0,3,0.008,0.000
14,1,0,0.008,-0.025
14,1,1,0.008,0.000
14,1,2,0.008,-0.026
14,1,3,0.008,0.000
14,2,0,0.008,0.000
14,2,1,0.008,-0.026
14,2,2,0.008,0.000
14,2,3,0.008,-0.025
14,3,0,0.008,0.000
14,3,1,0.008,0.000
14,3,2,0.008,-0.025
14,3,3,0.008,0.000
15,0,0,0.009,0.000
15,0,1,0.009,-0.025
15,0,2,0.009,0.000
15,0,3,0.009,0.000
15,1,0,0.009,-0.025
15,1,1,0.009,0.000
15,1,2,0.009,-0.026
15,1,3,0.009,0.000
15,2,0,0.009,0.000
15,2,1,0.009,-0.026
15,2,2,0.009,0.000
15,2,3,0.009,-0.025
15,3,0,0.009,0.000
15,3,1,0.009,0.000
15,3,2,0.009,-0.025
15,3,3,0.009,0.000
16,0,0,0.010,0.000
16,0,1,0.010,-0.025
16,0,2,0.010,0.000
16,0,3,0.010,0.000
16,1,0,0.010,-0.025
16,1,1,0.010,0.000
16,1,2,0.010,-0.026
16,1,3,0.010,0.000
16,2,0,0.010,0.000
16,2,1,0.010,-0.026
16,2,2,0.010,0.000
16,2,3,0.010,-0.025
16,3,0,0.010,0.000
16,3,1,0.010,0.000
16,3,2,0.010,-0.025
16,3,3,0.010,0.000
17,0,0,0.010,0.000
17,0,1,0.010,-0.025
17,0,2,0.010,0.000
17,0,3,0.010,0.000
17,1,0,0.010,-0.025
17,1,1,0.010,0.000
17,1,2,0.010,-0.026
17,1,3,0.010,0.000
17,2,0,0.010,0.000
17,2,1,0.010,-0.026
17,2,2,0.010,0.000
17,2,3,0.010,-0.025
17,3,0,0.010,0.000
17,3,1,0.010,0.000
17,3,2,0.010,-0.025
17,3,3,0.010,0.000
18,0,0,0.011,0.000
18,0,1,0.011,-0.026
18,0,2,0.011,0.000
18,0,3,0.011,0.000
18,1,0,0.011,-0.026
18,1,1,0.011,0.000
18,1,2,0.011,-0.026
18,1,3,0.011,0.000
18,2,0,0.011,0.000
18,2,1,0.011,-0.026
18,2,2,0.011,0.000
18,2,3,0.011,-0.026
18,3,0,0.011,0.000
18,3,1,0.011,0.000
18,3,2,0.011,-0.026
18,3,3,0.011,0.000
19,0,0,0.012,0.000
19,0,1,0.012,-0.026
19,0,2,0.012,0.000
19,0,3,0.012,0.000
19,1,0,0.012,-0.026
19,1,1,0.012,0.000
19,1,2,0.012,-0.026
19,1,3,0.012,0.000
19,2,0,0.012,0.000
19,2,1,0.012,-0.026
19,2,2,0.012,0.000
19,2,3,0.012,-0.026
19,3,0,0.012,0.000
19,3,1,0.012,0.000
19,3,2,0.012,-0.026
19,3,3,0.012,0.000
20,0,0,0.013,0.000
20,0,1,0.013,-0.026
20,0,2,0.013,0.000
20,0,3,0.013,0.000
20,1,0,0.013,-0.026
20,1,1,0.013,0.000
20,1,2,0.013,-0.026
20,1,3,0.013,0.000
20,2,0,0.013,0.000
20,2,1,0.013,-0.026
20,2,2,0.013,0.000
20,2,3,0.013,-0.026
20,3,0,0.013,0.000
20,3,1,0.013,0.000
20,3,2,0.013,-0.026
20,3,3,0.013,0.000
21,0,0,0.013,0.000
21,0,1,0.013,-0.026
21,0,2,0.013,0.000
21,0,3,0.013,0.000
21,1,0,0.013,-0.026
21,1,1,0.013,0.000
21,1,2,0.013,-0.026
21,1,3,0.013,0.000
21,2,0,0.013,0.000
21,2,1,0.013,-0.026
21,2,2,0.013,0.000
21,2,3,0.013,-0.026
21,3,0,0.013,0.000
21,3,1,0.013,0.000
21,3,2,0.013,-0.026
21,3,3,0.013,0.000
22,0,0,0.014,0.000
22,0,1,0.014,-0.026
22,0,2,0.014,0.000
22,0,3,0.014,0.000
22,1,0,0.014,-0.026
22,1,1,0.014,0.000
22,1,2,0.014,-0.026
22,1,3,0.014,0.000
22,2,0,0.014,0.000
22,2,1,0.014,-0.026
22,2,2,0.014,0.000
22,2,3,0.014,-0.026
22,3,0,0.014,0.000
22,3,1,0.014,0.000
22,3,2,0.014,-0.026
22,3,3,0.014,0.000
23,0,0,0.015,0.000
23,0,1,0.015,-0.026
23,0,2,0.015,0.000
23,0,3,0.015,0.000
23,1,0,0.015,-0.026
23,1,1,0.015,0.000
23,1,2,0.015,-0.026
23,1,3,0.015,0.000
23,2,0,0.015,0.000
23,2,1,0.015,-0.026
23,2,2,0.015,0.000
23,2,3,0.015,-0.026
23,3,0,0.015,0.000
23,3,1,0.015,0.000
23,3,2,0.015,-0.026
23,3,3,0.015,0.000
24,0,0,0.016,0.000
24,0,1,0.016,-0.026
24,0,2,0.016,0.000
24,0,3,0.016,0.000
24,1,0,0.016,-0.026
24,1,1,0.016,0.000
24,1,2,0.016,-0.026
24,1,3,0.016,0.000
24,2,0,0.016,0.000
24,2,1,0.016,-0.026
24,2,2,0.016,0.000
24,2,3,0.016,-0.026
24,3,0,0.016,0.000
24,3,1,0.016,0.000
24,3,2,0.016,-0.026
24,3,3,0.016,0.000
25,0,0,0.016,0.000
25,0,1,0.016,-0.026
25,0,2,0.016,0.000
25,0,3,0.016,0.000
25,1,0,0.016,-0.026
25,1,1,0.016,0.000
25,1,2,0.016,-0.026
25,1,3,0.016,0.000
25,2,0,0.016,0.000
25,2,1,0.016,-0.026
25,2,2,0.016,0.000
25,2,3,0.016,-0.026
25,3,0,0.016,0.000
25,3,1,0.016,0.000
25,3,2,0.016,-0.026
25,3,3,0.016,0.000
26,0,0,0.017,0.000
26,0,1,0.017,-0.026
26,0,2,0.017,0.000
26,0,3,0.017,0.000
26,1,0,0.017,-0.026
26,1,1,0.017,0.000
26,1,2,0.017,-0.026
26,1,3,0.017,0.000
26,2,0,0.017,0.000
26,2,1,0.017,-0.026
26,2,2,0.017,0.000
26,2,3,0.017,-0.026
26,3,0,0.017,0.000
26,3,1,0.017,0.000
26,3,2,0.017,-0.026
26,3,3,0.017,0.000
27,0,0,0.018,0.000
27,0,1,0.018,-0.026
27,0,2,0.018,0.000
27,0,3,0.018,0.000
27,1,0,0.018,-0.026
27,1,1,0.018,0.000
27,1,2,0.018,-0.026
27,1,3,0.018,0.000
27,2,0,0.018,0.000
27,2,1,0.018,-0.026
27,2,2,0.018,0.000
27,2,3,0.018,-0.026
27,3,0,0.018,0.000
27,3,1,0.018,0.000
27,3,2,0.018,-0.026
27,3,3,0.018,0.000
28,0,0,0.019,0.000
28,0,1,0.019,-0.026
28,0,2,0.019,0.000
28,0,3,0.019,0.000
28,1,0,0.019,-0.026
28,1,1,0.019,0.000
28,1,2,0.019,-0.026
28,1,3,0.019,0.000
28,2,0,0.019,0.000
28,2,1,0.019,-0.026
28,2,2,0.019,0.000
28,2,3,0.019,-0.026
28,3,0,0.019,0.000
28,3,1,0.019,0.000
28,3,2,0.019,-0.026
28,3,3,0.019,0.000
29,0,0,0.020,0.000
29,0,1,0.020,-0.026
29,0,2,0.020,0.000
29,0,3,0.020,0.000
29,1,0,0.020,-0.026
29,1,1,0.020,0.000
29,1,2,0.020,-0.026
29,1,3,0.020,0.000
29,2,0,0.020,0.000
29,2,1,0.020,-0.026
29,2,2,0.020,0.000
29,2,3,0.020,-0.026
29,3,0,0.020,0.000
29,3,1,0.020,0.000
29,3,2,0.020,-0.026
29,3,3,0.020,0.000
30,0,0,0.020,0.000
30,0,1,0.020,-0.026
30,0,2,0.020,0.000
30,0,3,0.020,0.000
30,1,0,0.020,-0.026
30,1,1,0.020,0.000
30,1,2,0.020,-0.026
30,1,3,0.020,0.000
30,2,0,0.020,0.000
30,2,1,0.020,-0.026
30,2,2,0.020,0.000
30,2,3,0.020,-0.026
30,3,0,0.020,0.000
30,3,1,0.020,0.000
30,3,2,0.020,-0.026
30,3,3,0.020,0.000
31,0,0,0.021,0.000
31,0,1,0.021,-0.026
31,0,2,0.021,0.000
31,0,3,0.021,0.000
31,1,0,0.021,-0.026
31,1,1,0.021,0.000
31,1,2,0.021,-0.027
31,1,3,0.021,0.000
31,2,0,0.021,0.000
31,2,1,0.021,-0.027
31,2,2,0.021,0.000
31,2,3,0.021,-0.026
31,3,0,0.021,0.000
31,3,1,0.021,0.000
31,3,2,0.021,-0.026
31,3,3,0.021,0.000
32,0,0,0.022,0.000
32,0,1,0.022,-0.026
32,0,2,0.022,0.000
32,0,3,0.022,0.000
32,1,0,0.022,-0.026
32,1,1,0.022,0.000
32,1,2,0.022,-0.027
32,1,3,0.022,0.000
32,2,0,0.022,0.000
32,2,1,0.022,-0.027
32,2,2,0.022,0.000
32,2,3,0.022,-0.026
32,3,0,0.022,0.000
32,3,1,0.022,0.000
32,3,2,0.022,-0.026
32,3,3,0.022,0.000
33,0,0,0.023,0.000
33,0,1,0.023,-0.026
33,0,2,0.023,0.000
33,0,3,0.023,0.000
33,1,0,0.023,-0.026
33,1,1,0.023,0.000
33,1,2,0.023,-0.027
33,1,3,0.023,0.000
33,2,0,0.023,0.000
33,2,1,0.023,-0.027
33,2,2,0.023,0.000
33,2,3,0.023,-0.026
33,3,0,0.023,0.000
33,3,1,0.023,0.000
33,3,2,0.023,-0.026
33,3,3,0.023,0.000
34,0,0,0.024,0.000
34,0,1,0.024,-0.026
34,0,2,0.024,0.000
34,0,3,0.024,0.000
34,1,0,0.024,-0.026
34,1,1,0.024,0.000
34,1,2,0.024,-0.027
34,1,3,0.024,0.000
34,2,0,0.024,0.000
34,2,1,0.024,-0.027
34,2,2,0.024,0.000
34,2,3,0.024,-0.026
34,3,0,0.024,0.000
34,3,1,0.024,0.000
34,3,2,0.024,-0.026
34,3,3,0.024,0.000
35,0,0,0.025,0.000
35,0,1,0.025,-0.026
35,0,2,0.025,0.000
35,0,3,0.025,0.000
35,1,0,0.025,-0.026
35,1,1,0.025,0.000
35,1,2,0.025,-0.027
35,1,3,0.025,0.000
35,2,0,0.025,0.000
35,2,1,0.025,-0.027
35,2,2,0.025,0.000
35,2,3,0.025,-0.026
35,3,0,0.025,0.000
35,3,1,0.025,0.000
35,3,2,0.025,-0.026
35,3,3,0.025,0.000
36,0,0,0.026,0.000
36,0,1,0.026,-0.026
36,0,2,0.026,0.000
36,0,3,0.026,0.000
36,1,0,0.026,-0.026
36,1,1,0.026,0.000
36,1,2,0.026,-0.027
36,1,3,0.026,0.000
36,2,0,0.026,0.000
36,2,1,0.026,-0.027
36,2,2,0.026,0.000
36,2,3,0.026,-0.026
36,3,0,0.026,0.000
36,3,1,0.026,0.000
36,3,2,0.026,-0.026
36,3,3,0.026,0.000
37,0,0,0.027,0.000
37,0,1,0.027,-0.026
37,0,2,0.027,0.000
37,0,3,0.027,0.000
37,1,0,0.027,-0.026
37,1,1,0.027,0.000
37,1,2,0.027,-0.027
37,1,3,0.027,0.000
37,2,0,0.027,0.000
37,2,1,0.027,-0.027
37,2,2,0.027,0.000
37,2,3,0.027,-0.026
37,3,0,0.027,0.000
37,3,1,0.027,0.000
37,3,2,0.027,-0.026
37,3,3,0.027,0.000
38,0,0,0.027,0.000
38,0,1,0.027,-0.026
38,0,2,0.027,0.000
38,0,3,0.027,0.000
38,1,0,0.027,-0.026
38,1,1,0.027,0.000
38,1,2,0.027,-0.027
38,1,3,0.027,0.000
38,2,0,0.027,0.000
38,2,1,0.027,-0.027
38,2,2,0.027,0.000
38,2,3,0.027,-0.026
38,3,0,0.027,0.000
38,3,1,0.027,0.000
38,3,2,0.027,-0.026
38,3,3,0.027,0.000
39,0,0,0.028,0.000
39,0,1,0.028,-0.026
39,0,2,0.028,0.000
39,0,3,0.028,0.000
39,1,0,0.028,-0.026
39,1,1,0.028,0.000
39,1,2,0.028,-0.027
39,1,3,0.028,0.000
39,2,0,0.028,0.000
39,2,1,0.028,-0.027
39,2,2,0.028,0.000
39,2,3,0.028,-0.026
39,3,0,0.028,0.000
39,3,1,0.028,0.000
39,3,2,0.028,-0.026
39,3,3,0.028,0.000
40,0,0,0.029,0.000
40,0,1,0.029,-0.026
40,0,2,0.029,0.000
40,0,3,0.029,0.000
40,1,0,0.029,-0.026
40,1,1,0.029,0.000
40,1,2,0.029,-0.027
40,1,3,0.029,0.000
40,2,0,0.029,0.000
40,2,1,0.029,-0.027
40,2,2,0.029,0.000
40,2,3,0.029,-0.026
40,3,0,0.029,0.000
40,3,1,0.029,0.000
40,3,2,0.029,-0.026
40,3,3,0.029,0.000
41,0,0,0.030,0.000
41,0,1,0.030,-0.026
41,0,2,0.030,0.000
41,0,3,0.030,0.000
41,1,0,0.030,-0.026
41,1,1,0.030,0.000
41,1,2,0.030,-0.027
41,1,3,0.030,0.000
41,2,0,0.030,0.000
41,2,1,0.030,-0.027
41,2,2,0.030,0.000
41,2,3,0.030,-0.026
41,3,0,0.030,0.000
41,3,1,0.030,0.000
41,3,2,0.030,-0.026
41,3,3,0.030,0.000
42,0,0,0.031,0.000
42,0,1,0.031,-0.026
42,0,2,0.031,0.000
42,0,3,0.031,0.000
42,1,0,0.031,-0.026
42,1,1,0.031,0.000
42,1,2,0.031,-0.027
42,1,3,0.031,0.000
42,2,0,0.031,0.000
42,2,1,0.031,-0.027
42,2,2,0.031,0.000
42,2,3,0.031,-0.026
42,3,0,0.031,0.000
42,3,1,0.031,0.000
42,3,2,0.031,-0.026
42,3,3,0.031,0.000
43,0,0,0.032,0.000
43,0,1,0.032,-0.026
43,0,2,0.032,0.000
43,0,3,0.032,0.000
43,1,0,0.032,-0.026
43,1,1,0.032,0.000
43,1,2,0.032,-0.027
43,1,3,0.032,0.000
43,2,0,0.032,0.000
43,2,1,0.032,-0.027
43,2,2,0.032,0.000
43,2,3,0.032,-0.026
43,3,0,0.032,0.000
43,3,1,0.032,0.000
43,3,2,0.032,-0.026
43,3,3,0.032,0.000
44,0,0,0.033,0.000
44,0,1,0.033,-0.026
44,0,2,0.033,0.000
44,0,3,0.033,0.000
